timestamp,device_id,temperature,humidity
2025-11-28T11:31:25.581937,sensor_02,22.82,32.24
2025-11-28T11:31:30.581937,sensor_03,25.91,55.8
2025-11-28T11:31:35.581937,sensor_01,20.38,53.65
2025-11-28T11:31:40.581937,sensor_02,20.85,41.23
2025-11-28T11:31:45.581937,sensor_02,23.35,34.86
2025-11-28T11:31:50.581937,sensor_03,38.9,60.91
2025-11-28T11:31:55.581937,sensor_02,35.76,42.63
2025-11-28T11:32:00.581937,sensor_02,25.5,63.86
2025-11-28T11:32:05.581937,sensor_02,32.24,67.36
2025-11-28T11:32:10.581937,sensor_03,21.02,33.79
2025-11-28T11:32:15.581937,sensor_02,27.81,46.46
2025-11-28T11:32:20.581937,sensor_01,34.4,67.74
2025-11-28T11:32:25.581937,sensor_01,39.71,65.26
2025-11-28T11:32:30.581937,sensor_01,25.5,63.76
2025-11-28T11:32:35.581937,sensor_01,25.2,35.07
2025-11-28T11:32:40.581937,sensor_03,28.47,52.75
2025-11-28T11:32:45.581937,sensor_02,31.0,37.19
2025-11-28T11:32:50.581937,sensor_03,28.5,43.65
2025-11-28T11:32:55.581937,sensor_02,27.66,54.96
2025-11-28T11:33:00.581937,sensor_01,38.58,64.46
2025-11-28T11:33:05.581937,sensor_03,35.32,64.72
2025-11-28T11:33:10.581937,sensor_03,25.49,56.14
2025-11-28T11:33:15.581937,sensor_01,32.59,47.14
2025-11-28T11:33:20.581937,sensor_02,30.79,59.14
2025-11-28T11:33:25.581937,sensor_02,22.59,51.04
2025-11-28T11:33:30.581937,sensor_01,20.16,32.32
2025-11-28T11:33:35.581937,sensor_03,30.53,36.22
2025-11-28T11:33:40.581937,sensor_01,39.63,57.88
2025-11-28T11:33:45.581937,sensor_01,33.98,48.9
2025-11-28T11:33:50.581937,sensor_02,24.11,57.13
2025-11-28T11:33:55.581937,sensor_01,20.49,31.29
2025-11-28T11:34:00.581937,sensor_03,29.84,51.51
2025-11-28T11:34:05.581937,sensor_02,24.74,56.3
2025-11-28T11:34:10.581937,sensor_02,20.13,39.56
2025-11-28T11:34:15.581937,sensor_03,29.7,51.67
2025-11-28T11:34:20.581937,sensor_01,31.75,45.62
2025-11-28T11:34:25.581937,sensor_01,33.7,68.78
2025-11-28T11:34:30.581937,sensor_03,26.84,60.29
2025-11-28T11:34:35.581937,sensor_02,29.24,36.82
2025-11-28T11:34:40.581937,sensor_01,34.21,55.67
2025-11-28T11:34:45.581937,sensor_02,20.28,41.01
2025-11-28T11:34:50.581937,sensor_03,24.02,63.98
2025-11-28T11:34:55.581937,sensor_01,22.76,46.18
2025-11-28T11:35:00.581937,sensor_03,36.44,66.99
2025-11-28T11:35:05.581937,sensor_01,22.89,56.19
2025-11-28T11:35:10.581937,sensor_02,26.57,41.19
2025-11-28T11:35:15.581937,sensor_03,31.02,41.34
2025-11-28T11:35:20.581937,sensor_02,31.67,47.01
2025-11-28T11:35:25.581937,sensor_03,29.5,68.92
2025-11-28T11:35:30.581937,sensor_02,38.25,43.39
2025-11-28T11:35:35.581937,sensor_02,38.64,65.76
2025-11-28T11:35:40.581937,sensor_01,21.3,36.03
2025-11-28T11:35:45.581937,sensor_01,32.97,38.22
2025-11-28T11:35:50.581937,sensor_02,38.45,50.68
2025-11-28T11:35:55.581937,sensor_03,33.9,47.38
2025-11-28T11:36:00.581937,sensor_01,35.04,54.15
2025-11-28T11:36:05.581937,sensor_01,25.61,45.91
2025-11-28T11:36:10.581937,sensor_02,29.32,59.02
2025-11-28T11:36:15.581937,sensor_02,27.76,33.52
2025-11-28T11:36:20.581937,sensor_03,30.35,32.74
2025-11-28T11:36:25.581937,sensor_03,28.32,32.57
2025-11-28T11:36:30.581937,sensor_02,23.67,55.77
2025-11-28T11:36:35.581937,sensor_03,38.08,49.39
2025-11-28T11:36:40.581937,sensor_02,33.79,54.44
2025-11-28T11:36:45.581937,sensor_02,37.7,34.58
2025-11-28T11:36:50.581937,sensor_02,32.45,69.68
2025-11-28T11:36:55.581937,sensor_01,26.29,47.79
2025-11-28T11:37:00.581937,sensor_02,29.46,65.17
2025-11-28T11:37:05.581937,sensor_02,39.07,34.91
2025-11-28T11:37:10.581937,sensor_02,29.69,39.21
2025-11-28T11:37:15.581937,sensor_01,22.07,47.9
2025-11-28T11:37:20.581937,sensor_01,25.18,49.54
2025-11-28T11:37:25.581937,sensor_01,26.89,40.58
2025-11-28T11:37:30.581937,sensor_03,26.51,33.36
2025-11-28T11:37:35.581937,sensor_01,38.02,35.11
2025-11-28T11:37:40.581937,sensor_03,33.61,54.21
2025-11-28T11:37:45.581937,sensor_03,31.68,59.51
2025-11-28T11:37:50.581937,sensor_01,27.65,31.9
2025-11-28T11:37:55.581937,sensor_02,35.38,51.59
2025-11-28T11:38:00.581937,sensor_02,35.61,44.71
2025-11-28T11:38:05.581937,sensor_03,37.11,53.61
2025-11-28T11:38:10.581937,sensor_01,22.15,53.0
2025-11-28T11:38:15.581937,sensor_03,28.7,51.82
2025-11-28T11:38:20.581937,sensor_01,37.99,49.8
2025-11-28T11:38:25.581937,sensor_02,33.05,43.64
2025-11-28T11:38:30.581937,sensor_02,24.71,42.06
2025-11-28T11:38:35.581937,sensor_01,25.6,41.8
2025-11-28T11:38:40.581937,sensor_01,20.98,37.63
2025-11-28T11:38:45.581937,sensor_02,24.78,53.12
2025-11-28T11:38:50.581937,sensor_03,21.35,32.5
2025-11-28T11:38:55.581937,sensor_03,37.85,61.4
2025-11-28T11:39:00.581937,sensor_01,31.16,44.43
2025-11-28T11:39:05.581937,sensor_01,29.18,53.32
2025-11-28T11:39:10.581937,sensor_01,28.39,44.05
2025-11-28T11:39:15.581937,sensor_02,37.65,40.85
2025-11-28T11:39:20.581937,sensor_02,34.34,67.56
2025-11-28T11:39:25.581937,sensor_02,39.1,32.8
2025-11-28T11:39:30.581937,sensor_02,39.48,64.69
2025-11-28T11:39:35.581937,sensor_02,25.47,38.26
2025-11-28T11:39:40.581937,sensor_03,25.67,53.14
2025-11-28T11:39:45.581937,sensor_03,30.26,35.56
2025-11-28T11:39:50.581937,sensor_03,31.07,37.77
2025-11-28T11:39:55.581937,sensor_01,32.4,63.54
2025-11-28T11:40:00.581937,sensor_01,29.94,33.85
2025-11-28T11:40:05.581937,sensor_03,22.72,50.21
2025-11-28T11:40:10.581937,sensor_03,37.94,64.38
2025-11-28T11:40:15.581937,sensor_01,32.89,36.16
2025-11-28T11:40:20.581937,sensor_03,23.7,58.8
2025-11-28T11:40:25.581937,sensor_03,37.36,67.65
2025-11-28T11:40:30.581937,sensor_02,32.44,47.7
2025-11-28T11:40:35.581937,sensor_03,21.14,46.72
2025-11-28T11:40:40.581937,sensor_01,29.39,35.89
2025-11-28T11:40:45.581937,sensor_02,38.17,31.61
2025-11-28T11:40:50.581937,sensor_02,24.97,68.03
2025-11-28T11:40:55.581937,sensor_02,21.95,51.33
2025-11-28T11:41:00.581937,sensor_02,30.17,40.83
2025-11-28T11:41:05.581937,sensor_03,27.45,58.36
2025-11-28T11:41:10.581937,sensor_01,32.41,61.7
2025-11-28T11:41:15.581937,sensor_02,21.47,63.03
2025-11-28T11:41:20.581937,sensor_03,32.58,31.94
2025-11-28T11:41:25.581937,sensor_03,29.29,54.56
2025-11-28T11:41:30.581937,sensor_01,33.72,57.44
2025-11-28T11:41:35.581937,sensor_03,37.76,51.62
2025-11-28T11:41:40.581937,sensor_03,32.92,53.79
2025-11-28T11:41:45.581937,sensor_03,29.38,52.79
2025-11-28T11:41:50.581937,sensor_02,34.63,38.92
2025-11-28T11:41:55.581937,sensor_02,34.03,41.27
2025-11-28T11:42:00.581937,sensor_03,26.01,53.52
2025-11-28T11:42:05.581937,sensor_01,38.17,62.95
2025-11-28T11:42:10.581937,sensor_02,25.79,63.21
2025-11-28T11:42:15.581937,sensor_02,22.44,53.25
2025-11-28T11:42:20.581937,sensor_01,27.01,47.0
2025-11-28T11:42:25.581937,sensor_03,36.16,59.1
2025-11-28T11:42:30.581937,sensor_02,37.33,55.17
